views,comments,likes,score
49,13,25,84
23,26,16,55
34,2,50,49
27,21,14,60
45,29,2,56
32,45,1,10
25,44,15,29
10,14,3,66
31,45,10,86
24,35,28,91
25,21,35,85
48,2,9,69
42,40,4,65
41,20,18,47
43,3,7,82
3,45,6,95
19,38,48,69
35,36,16,99
1,16,18,70
24,8,47,54
8,40,40,72
14,18,8,58
20,16,26,78
0,42,23,53
18,41,2,67
21,4,20,82
31,19,37,62
17,3,46,50
43,39,25,64
9,36,39,94
38,41,21,67
11,24,10,0
28,31,28,36
38,45,47,1
13,2,39,71
17,26,1,5
43,13,12,9
4,5,48,39
39,21,35,52
46,32,5,44
45,9,19,62
46,16,22,38
11,7,41,42
10,7,49,61
7,16,23,61
44,2,17,48
46,2,28,98
29,11,19,62
14,18,44,42
24,23,28,58
22,39,48,30
4,23,28,40
10,36,10,13
32,10,17,90
8,23,9,92
41,25,22,92
42,18,41,95
46,38,20,71
10,47,22,58
10,46,37,62
24,14,23,94
45,20,8,73
39,39,4,54
5,16,16,79
13,18,27,59
40,12,3,53
24,27,18,60
47,30,24,18
36,39,23,90
46,17,50,73
4,25,18,54
18,45,23,72
38,32,48,67
48,27,24,89
7,15,37,60
32,16,20,90
38,32,33,16
16,42,24,87
15,1,22,56
1,46,18,52
32,21,9,94
43,48,37,85
24,24,47,78
15,20,49,78
22,11,6,51
10,48,12,58
17,36,40,9
22,29,21,46
16,27,5,64
23,45,13,99
16,47,33,66
32,6,19,68
22,19,27,45
33,36,15,69
23,10,48,71
19,11,12,51
9,44,6,56
16,2,31,66
35,6,33,36
12,41,2,35
3,8,1,86
15,42,27,3
1,12,42,90
38,35,28,72
2,43,8,59
3,30,1,57
21,33,20,100
46,48,21,41
32,11,4,75
45,49,34,65
13,17,47,72
44,19,0,22
19,23,39,73
45,47,30,32
24,42,21,98
19,17,44,72
46,26,34,49
0,48,40,15
11,32,41,92
1,30,11,98
7,20,19,37
12,2,50,60
32,10,15,76
9,22,27,11
17,4,1,69
24,27,25,64
26,42,31,71
35,45,26,57
44,35,49,32
8,16,33,73
21,33,37,26
8,4,15,57
25,37,32,53
31,30,47,19
7,36,7,78
43,35,27,62
50,50,50,85
28,38,40,63
20,46,46,96
9,10,8,29
24,37,39,66
2,49,1,85
40,3,9,41
40,36,1,39
8,42,21,84
37,27,50,41
14,31,49,56
18,2,48,73
16,36,37,30
